TimeDateStamp,Characteristics,MajorLinkerVersion,SizeOfInitializedData,AddressOfEntryPoint,CheckSum,DllCharacteristics,SectionMinEntropy,SectionMaxPhysical,SectionMaxChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryResource,ImageDirectoryEntrySecurity,Malware
1393507256,8450,10,35840,31351,121660,320,3.8829962598635968,50066,3221225536,5,93,5,90112,0,1
1330723457,258,11,307712,33196,383681,32768,1.596133156260671,136110,3221225536,1,67,0,266240,343040,1
1260053532,271,6,308224,12538,501037,32768,0.0,2637824,3221225600,8,155,0,2973696,454664,1
1329801591,259,9,144384,14154,10385948,33792,0.0,262144,3221225600,8,168,0,438272,10370576,1
1362019288,258,11,322560,9712,402271,33792,1.5232471533847785,110200,3221225536,1,2,0,262144,351232,1
1419857592,259,9,560640,65526,705889,33024,4.034378031478388,473200,3221225536,6,128,0,258048,715160,1
1372528481,258,11,693760,183558,951468,32832,4.881660120818483,380774,3221225536,3,99,0,901120,0,1
631084482,271,6,43008,6530,0,0,0.0,249856,3758096416,1,11,0,0,0,1
1122960915,35,8,7680,1073769949,80822,32768,0.0,22584,3221225536,3,65,0,40960,0,1
708992537,33167,2,17920,42488,0,32768,0.0,40240,3221225536,8,96,0,69632,0,1
1283246771,259,8,8192,348688,134987,0,0.0,233472,3758096512,9,14,0,352256,121856,1
1018662584,271,6,561152,33880,0,0,0.0,548460,3221225536,4,119,0,610304,0,1
1369045054,35,9,73216,137036,0,33024,2.2657606260916348,173746,3221225536,9,213,0,368640,0,1
1407140910,259,9,839680,51234,0,32768,4.540849632606319,586560,3221225536,7,116,0,892928,890184,1
1332714068,258,11,204800,844961,1091483,32832,5.429117814098737,865520,3221225536,1,66,0,1056768,0,1
1161043042,34,8,392704,1074646353,981485,32832,0.0,529184,3221225536,15,354,0,577536,923136,1
596991535,271,6,43008,6305,0,0,0.0,65536,3758096480,1,11,0,0,0,1
1396086123,271,6,119808,15827,2650202,32768,0.0,143360,3221225600,8,154,0,299008,2621504,1
1432215227,271,5,5120,4288,0,0,3.9812411365953904,737280,3758096416,4,10,0,749568,0,1
1268906586,8462,6,40960,4612,431800,0,0.0,362087,3221225536,1,51,4,385024,0,1
1363078305,258,8,277504,5339,318473,34112,0.0,144896,3221225536,3,41,0,20480,286208,1
1396379625,258,11,13312,49214,0,34112,0.0815394123432416,41028,3221225536,1,1,0,65536,0,1
1444487823,33167,2,53248,70588,4225284,33088,0.0,61748,3221225536,11,120,0,114688,4155080,1
708992537,33166,2,21504,49600,1649066,32768,0.0,47336,3221225536,11,114,0,86016,1628040,1
1244324519,271,6,164864,12538,0,32768,0.0,154712,3221225600,8,155,0,270336,0,1
708992537,33167,2,17920,42488,2188192072,32768,0.0,40240,3221225536,8,96,0,69632,975184,1
1399474927,258,10,394752,59901,548291,33088,4.190376474673159,347600,3221225536,7,112,0,172032,514816,1
1326755838,258,11,711168,103346,874359,32832,4.655330125409031,602330,3221225536,3,97,0,843776,0,1
1352445278,770,9,705536,852414,553865,33024,4.328407727792532,847872,3758096608,7,8,0,856064,0,1
1397641030,258,9,331776,10010,2018320208,33088,5.533602422793857,290284,3221225536,4,98,0,159744,443392,1
1438594507,258,10,75776,58012,205533,33088,3.174084775881985,112856,3221225536,4,100,0,167936,182272,1
1420977060,8450,10,77312,132151,338739,320,0.0,200496,3489660992,9,202,5,274432,279040,1
933676282,302,8,12288,96328,0,1024,5.337362048414438,45702,3758096480,0,0,0,57344,0,1
1387167210,8450,8,7168,7131,75120,256,0.2787473243127146,4540,3221225536,3,74,7,20480,12800,1
1290097655,271,6,35328,84740,153019,0,0.0203931352360849,104938,3221226048,4,122,0,159744,0,1
1304044401,259,9,8192,215471,236441,32768,4.473090231801822,266240,3758096512,10,332,0,466944,203264,1
1434440424,258,11,716800,43546,809281,33024,2.737976829916165,3979264,3221225536,4,83,0,126976,0,1
1341571068,35,8,16896,1073787261,81114,32768,0.0,21915,3221225536,6,121,0,53248,39936,1
1395663322,258,9,0,33112,0,6144,2.6769262503154487,684032,3221225536,6,76,0,53248,0,1
708992537,33167,2,10752,42488,0,32768,0.0,40240,3221225536,8,96,0,69632,0,1
1395329329,258,9,322048,9481,2018238336,33088,3.554523944437612,284140,3221225536,4,83,0,90112,365056,1
1268912020,271,6,32768,4404,590595,0,0.0,510248,3221225536,1,30,0,536576,0,1
708992537,33166,2,21504,49600,2770283,32768,0.0,47336,3221225536,11,114,0,86016,2746736,1
1355538893,33166,2,33792,37060,214110,0,0.0,77824,3758096416,0,0,0,73728,141824,1
1363078305,258,8,297984,5339,320421,34112,0.0,165376,3221225536,3,41,0,20480,306688,1
1335337706,271,6,20480,4572,268172,0,0.0,180316,3221225536,1,47,0,200704,0,1
1272874291,271,7,75264,148943,11924193,0,0.0,150339,3221225536,0,0,0,180224,11909880,1
1395069722,258,11,356352,13382,2018264344,33088,2.4958809915888565,287760,3221225536,3,73,0,102400,388096,1
1183636374,34,9,92672,208222,0,32768,2.750262774685285,204288,3758096480,4,145,0,307200,0,1
1416347844,33166,2,933888,4896340,0,0,0.0,4879708,3221225536,20,589,0,5439488,0,1
1406108120,258,9,421376,15230,2018103056,33088,0.2975005573116089,552960,3758096416,4,7,0,557056,226816,1
1404467864,258,9,692224,12799,2018198296,33088,0.2693731207619056,823296,3758096416,4,7,0,827392,322048,1
1377818199,258,11,693760,174646,919162,32832,4.581251415760526,380790,3221225536,3,99,0,892928,0,1
1320243700,259,9,8192,539904,294525,32768,0.0,315392,3758096512,10,15,0,540672,229888,1
1293608220,271,6,3584,8799,0,0,2.657050796629981,22760,3758096416,3,31,1,36864,0,1
1408620493,258,11,38400,53175,753960,32832,2.1366512718555364,86560,3221225536,1,80,0,126976,715768,1
1359297616,258,11,693760,182566,966144,32832,4.842502074570289,380774,3221225536,3,99,0,901120,0,1
1321005981,259,8,0,671788,890017,256,1.212820177272376,1134592,3758096416,12,12,0,1142784,0,1
708992537,33167,2,17920,42488,3242222680,32768,0.0,40240,3221225536,8,96,0,69632,929392,1
1437224948,271,6,61440,348633,513248,0,0.0032818649698048,362634,3221225536,10,110,0,446464,471040,1
1427204197,36831,2,77824,3137936,1151973,0,0.0,2105344,3758096512,13,18,0,3141632,1107968,1
1335280927,33167,2,49152,2258544,814620,0,0.0,1544192,3758096512,13,18,0,2260992,758784,1
1386596467,783,2,157184,4416,0,0,0.0,103224,3227516992,2,43,0,73728,158208,1
2694881440,271,6,122880,143360,0,32768,3.7778374347409462,102400,3758096480,7,101,0,57344,0,1
1330111204,258,10,489984,14511,0,34112,0.0,5967872,3221225600,8,172,0,6488064,1706960,1
1336074257,271,6,24576,4512,286608,0,0.0,213424,3221225536,1,40,0,229376,0,1
1290097655,271,6,35328,84740,153019,0,0.0203931352360849,104938,3221226048,4,122,0,159744,0,1
1438265500,258,12,511488,71860,708544,33088,4.58655293614269,312662,3221225536,2,67,0,663552,656896,1
1363078305,258,8,309760,5339,380071,34112,0.0,177152,3221225536,3,41,0,20480,318464,1
1354262581,259,10,1126400,11295,102628,32768,0.4068024675255742,144384,3221225536,2,58,0,49152,0,1
1260053452,271,6,164864,12538,647645,32768,0.0,154712,3221225600,8,155,0,229376,598336,1
1359900477,258,11,317952,6192,364196,33792,0.0608918188311883,169263,3221225536,1,3,0,237568,325120,1
1247529507,34,9,170496,51656,286493,32832,0.2013443283882104,167936,3221225536,7,152,0,77824,0,1
1441291027,258,12,1107968,333631,1593573,33088,4.528887265928859,904496,3221225536,14,348,0,634880,1556480,1
1364967660,783,2,172544,4416,195791,0,0.0,97700,3227516992,5,72,0,172032,0,1
1115398493,527,2,7680,4096,41939,0,0.0,15392,3758096416,16,87,0,32768,24576,1
1355571186,258,11,237568,126923,381229,32832,3.059464906122062,147488,3221225536,1,63,0,372736,375808,1
1402507454,258,11,367104,19657,2018343704,33088,3.9519854370599137,286136,3221225536,4,87,0,180224,467456,1
1343417297,34,9,42496,84396,173558,33088,2.0708648362077797,94677,3221225536,6,129,0,151552,138240,1
1326611218,258,11,322560,10192,363690,33792,1.559509001458158,110200,3221225536,1,2,0,266240,0,1
1400147830,258,11,380928,20004,2018361112,33088,4.010981667980725,279856,3221225536,4,88,0,204800,484864,1
1417700004,259,11,1401344,51830,1171703,33024,6.062653059689008,1556480,3758096416,5,8,0,1560576,1113000,1
1299587833,34,10,458752,50000,384556,33088,0.2177699554580462,454560,3221225536,7,154,0,77824,0,1
1411239185,259,9,31744,19034,0,32768,4.609061959288391,53323,3221225536,7,137,0,86016,888680,1
1383584437,258,11,796672,119050,1170987,32832,4.791134301518935,655172,3221225536,1,83,0,1048576,1150976,1
1412009840,33166,2,949760,4867668,0,0,0.0,4851752,3221225536,20,589,0,5406720,0,1
